team,W,D,L,GS,GC,GD,P
Manchester United,26,7,5,62.0,21.0,41.0,85
Manchester City,24,11,3,65.0,21.0,44.0,83
Tottenham Hotspur,19,11,8,52.0,30.0,22.0,68
Chelsea FC,16,17,5,49.0,25.0,24.0,65
Newcastle United,16,14,8,41.0,34.0,7.0,62
Arsenal FC,15,15,8,51.0,38.0,13.0,60
Liverpool FC,14,13,11,37.0,31.0,6.0,55
Fulham FC,12,13,13,32.0,32.0,0.0,49
Everton FC,13,9,16,34.0,31.0,3.0,48
Stoke City,10,17,11,27.0,35.0,-8.0,47
Swansea City,11,13,14,30.0,38.0,-8.0,46
Sunderland AFC,10,15,13,31.0,31.0,0.0,45
West Bromwich Albion,9,15,14,30.0,40.0,-10.0,42
Queens Park Rangers,11,9,18,33.0,51.0,-18.0,42
Blackburn Rovers,10,10,18,38.0,53.0,-15.0,40
Wigan Athletic,8,15,15,27.0,46.0,-19.0,39
Norwich City,10,9,19,36.0,49.0,-13.0,39
Bolton Wanderers,10,8,20,36.0,58.0,-22.0,38
Aston Villa,7,16,15,27.0,41.0,-14.0,37
Wolverhampton Wanderers,4,13,21,28.0,61.0,-33.0,25
