player,goals
Jimmy Floyd Hasselbaink,18
Marcus Stewart,15
Michael Owen,14
Mark Viduka,12
Kevin Phillips,12
Emile Heskey,11
Thierry Henry,10
Teddy Sheringham,10
Andy Cole,9
Paulo Wanchope,8
Dion Dublin,8
Alen Bokšić,8
James Beattie,8
Kevin Campbell,7
Ade Akinbiyi,7
Alan Smith,7
Niall Quinn,7
Eiður Guðjohnsen,7
Lee Bowyer,7
Sylvain Wiltord,7
Ian Harte,7
Dwight Yorke,7
Gustavo Poyet,7
Steven Gerrard,7
Don Hutchison,7
Les Ferdinand,7
Gianfranco Zola,6
John Hartson,6
Alun Armstrong,6
Freddie Ljungberg,6
Frédéric Kanouté,6
Malcolm Christie,6
Serhiy Rebrov,6
Marians Pahars,6
Paolo Di Canio,5
Frank Lampard,5
Martijn Reuser,5
Branko Strupar,5
Carl Cort,5
Gary Speed,5
Shaun Goater,5
Julian Joachim,5
Muzzy Izzet,5
Robbie Fowler,5
Jonatan Johansson,5
Craig Bellamy,5
Robbie Keane,5
Mathias Svensson,5
Francis Jeffers,4
Dean Windass,4
Lee Hendrie,4
Hassan Kachloul,4
Graham Stuart,4
Robbie Blake,4
Alan Shearer,4
Kieron Dyer,4
Andy Hunt,4
Danny Cadamarteri,4
Nolberto Solano,4
Darius Vassell,4
Patrick Vieira,4
David Beckham,4
Shaun Bartlett,4
Dean Sturridge,4
Deon Burton,4
Ian Taylor,3
Rory Delap,3
Trevor Sinclair,3
David Unsworth,3
Kevin Kilbane,3
Mustapha Hadji,3
Ole Gunnar Solskjær,3
Duncan Ferguson,3
Danny Murphy,3
Alf-Inge Håland,3
Ashley Ward,3
Olivier Dacourt,3
Benito Carbone,3
Stephen Carr,3
Ugo Ehiogu,3
Stephen Howey,3
Willem Korsten,3
Robert Pirés,3
Mark Venus,3
Paul Scholes,3
Tore André Flo,3
Jo Tessem,3
Robbie Savage,3
Gary McAllister,3
David Thompson,3
Claus Jensen,3
Hámilton Ricard,3
Nicky Butt,3
Joseph-Désiré Job,3
Dennis Wise,3
Joe Cole,3
Ryan Giggs,3
Ashley Cole,2
Idan Tal,2
Chris Armstrong,2
Gary Doherty,2
Simon Davies,2
Stephen Glass,2
Colin Cooper,2
Dennis Bergkamp,2
Alex Rae,2
Dan Petrescu,2
Julio Arca,2
Christian Karembeu,2
Gerry Taggart,2
Daniel Cordone,2
Rio Ferdinand,2
Lauren,2
Richard Naylor,2
Gianluca Festa,2
Quinton Fortune,2
Arnar Gunnlaugsson,2
David Ginola,2
Richard Rufus,2
Sami Hyypiä,2
James Scowcroft,2
Steffen Iversen,2
Darren Anderton,2
Eirik Bakke,2
Niclas Alexandersson,2
Øyvind Leonhardsen,2
Sol Campbell,2
Nick Barmby,2
Matt Elliott,2
John Aloisi,2
Paul Dickov,2
Chris Riggott,2
Samuele Dalla Bona,2
Nwankwo Kanu,2
Dean Gordon,2
Darren Eadie,2
Kevin Gallacher,2
Vladimír Šmicer,2
Marcel Desailly,2
Ray Parlour,2
Roy Keane,2
Jermaine Wright,2
Paul Merson,2
Eoin Jess,2
Ledley King,1
Luc Nilis,1
Stephen Clemence,1
Andy Todd,1
Gavin McCann,1
Stuart McCall,1
Stefano Eranio,1
Wayne Jacobs,1
Markus Babbel,1
Mark Draper,1
Darryl Powell,1
Alain Goma,1
Christian Ziege,1
Mark Burchill,1
Matt Holland,1
David Wetherall,1
Andy O'Brien,1
Gary Neville,1
Ysrael Zuñiga,1
Scott Gemmill,1
Chris Perry,1
Callum Davidson,1
Gareth Southgate,1
Trond Soltvedt,1
Danny Tiatto,1
Danny Dichio,1
Paul Ince,1
Ronny Johnsen,1
Ian Pearce,1
Brian Deane,1
Mark Kinsella,1
Harry Kewell,1
Jari Litmanen,1
Stanislav Varga,1
Jason Dodd,1
Shola Ameobi,1
John Terry,1
Kevin Horlock,1
Mark Fish,1
Hermann Hreiðarsson,1
Titus Bramble,1
Giorgi Kinkladze,1
Michael Ball,1
George Weah,1
Patrice Carteron,1
Matt Oakley,1
Mario Stanić,1
Mark Summerbell,1
Jeff Whitley,1
Patrik Berger,1
Michael Gray,1
Davor Šuker,1
Steve Lomas,1
Luke Chadwick,1
John McGreal,1
Andrew Myers,1
Gerard Wiekens,1
Dietmar Hamann,1
Émerson Thome,1
Svetoslav Todorov,1
Cédric Roussel,1
Gary Naysmith,1
Spencer Prior,1
Paul Boertien,1
Gary Rowett,1
Michael Carrick,1
Stan Collymore,1
Marc Edworthy,1
Clarence Acuña,1
John Eustace,1
Christian Bassedas,1
Nigel Winterburn,1
Gilles Grimandi,1
Horacio Carbonari,1
Phil Neville,1
Stuart Pearce,1
Thomas Gravesen,1
Trevor Benjamin,1
Paolo Vernazza,1
Jesper Grønkjær,1
Fabian Wilnis,1
Scott Parker,1
Alan Wright,1
Jamie Lawrence,1
Lee Carsley,1
